cgpa,aptitude_score,coding_score,dsa_score,communication_score,attendance_percentage,projects_count,certifications_count,age,branch,degree,city_tier,college_tier,gender,internship_experience,backlog_history,placement_status,target
8.9,83,88,70,63,89.99,4,2,20,ECE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
6.3,77,87,85,53,94.12,1,3,24,Data Science,B.Tech,Tier 3,Tier 3,Female,No,0,Placed,1
8.49,94,95,76,66,89.54,2,2,24,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,1,Not Placed,0
9.46,88,85,52,72,86.73,4,1,23,ECE,B.Tech,Tier 1,Tier 2,Female,No,3,Placed,1
7.26,47,83,94,76,90.97,3,1,23,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Not Placed,0
9.39,71,95,66,55,83.21,4,0,21,ISE,B.Tech,Tier 3,Tier 2,Male,Yes,1,Placed,1
9.93,67,81,49,76,92.86,2,2,24,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
8.73,79,66,73,81,88.04,2,2,21,ISE,B.Tech,Tier 2,Tier 1,Female,Yes,3,Placed,1
7.09,64,70,80,70,92.11,1,1,24,CSE,B.E.,Tier 2,Tier 3,Female,Yes,0,Not Placed,0
7.72,62,70,81,83,79.91,1,2,20,Data Science,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
8.07,51,73,58,74,85.34,3,0,21,Data Science,B.Tech,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.65,70,70,80,66,86.44,4,2,22,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
6.97,50,60,62,75,99.97,2,2,23,ECE,B.E.,Tier 3,Tier 2,Female,Yes,0,Placed,1
6.02,77,79,39,44,85.56,2,1,23,ISE,B.E.,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
7.23,52,73,49,77,84.27,5,2,20,CSE,B.Tech,Tier 2,Tier 1,Female,No,1,Placed,1
7.95,83,73,76,67,73.12,2,3,21,Data Science,B.Tech,Tier 1,Tier 2,Male,Yes,1,Placed,1
7.33,62,70,60,74,92.48,2,1,21,Mechanical,B.Tech,Tier 2,Tier 1,Female,No,0,Not Placed,0
6.24,45,84,54,67,85.51,1,3,23,AI & ML,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.65,57,71,63,69,90.73,1,1,22,Data Science,B.E.,Tier 2,Tier 3,Female,Yes,1,Placed,1
7.21,65,59,70,94,89.8,2,2,20,AI & ML,B.Tech,Tier 2,Tier 2,Female,Yes,0,Placed,1
8.54,70,87,84,86,82.05,0,1,24,Data Science,B.E.,Tier 1,Tier 1,Male,Yes,0,Placed,1
8.7,90,78,96,74,97.18,3,0,21,CSE,B.Tech,Tier 1,Tier 1,Female,Yes,2,Placed,1
7.95,61,50,58,66,95.08,2,1,22,ECE,B.E.,Tier 3,Tier 2,Male,Yes,2,Not Placed,0
7.35,61,75,82,61,79.87,1,1,21,AI & ML,B.E.,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
6.92,62,97,75,64,80.57,1,1,20,ISE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
7.85,77,100,65,60,65.93,2,2,20,CSE,B.Tech,Tier 1,Tier 3,Male,No,1,Not Placed,0
7.51,63,67,94,72,80.06,2,2,20,Data Science,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
9.7,62,83,66,55,83.74,0,2,24,ISE,B.Tech,Tier 1,Tier 2,Female,Yes,0,Placed,1
6.63,66,90,71,58,75.79,3,1,22,ECE,B.E.,Tier 2,Tier 2,Male,Yes,2,Placed,1
6.88,54,62,69,76,89.01,2,4,24,EEE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
8.31,79,94,80,56,89.18,2,5,22,CSE,B.Tech,Tier 1,Tier 2,Female,Yes,0,Placed,1
8.97,89,90,67,70,83.95,2,1,22,Civil,B.Tech,Tier 1,Tier 2,Male,No,0,Placed,1
8.4,65,95,78,73,80.19,0,1,21,Mechanical,B.Tech,Tier 3,Tier 2,Female,No,1,Not Placed,0
8.22,71,77,100,61,92.65,1,2,22,AI & ML,B.Tech,Tier 3,Tier 3,Female,No,0,Placed,1
8.24,75,85,84,56,84.76,1,2,23,CSE,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
5.4,54,60,70,49,82.89,0,1,24,AI & ML,B.Tech,Tier 3,Tier 2,Male,No,0,Placed,1
8.16,57,91,76,88,100.0,2,0,23,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.01,44,83,64,81,81.13,1,5,20,Data Science,B.E.,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
9.04,63,64,80,74,83.92,1,1,21,ECE,B.Tech,Tier 1,Tier 3,Female,Yes,0,Placed,1
6.89,58,65,53,63,73.56,3,6,21,EEE,B.E.,Tier 1,Tier 1,Male,No,0,Placed,1
8.81,67,67,55,84,94.57,3,1,24,CSE,B.Tech,Tier 3,Tier 3,Male,No,0,Not Placed,0
7.89,47,46,45,65,74.18,2,5,23,ECE,B.E.,Tier 3,Tier 1,Female,No,0,Not Placed,0
7.28,75,87,67,71,65.13,2,3,21,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,1,Not Placed,0
7.49,48,90,83,72,74.44,1,2,22,Data Science,B.Tech,Tier 1,Tier 2,Female,Yes,0,Placed,1
6.91,59,75,60,60,72.16,2,0,22,EEE,B.Tech,Tier 2,Tier 2,Male,No,1,Placed,1
6.9,25,68,85,53,79.35,1,5,23,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,1,Placed,1
8.22,76,84,35,100,69.89,3,2,22,CSE,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
7.43,75,73,86,78,76.99,2,3,20,Data Science,B.E.,Tier 3,Tier 3,Male,Yes,1,Not Placed,0
6.47,68,66,55,45,90.5,2,1,21,ECE,B.E.,Tier 2,Tier 1,Male,No,1,Not Placed,0
7.95,65,61,63,94,69.47,3,2,23,CSE,B.Tech,Tier 1,Tier 3,Male,No,0,Not Placed,0
8.12,87,55,64,81,75.73,1,1,24,AI & ML,B.E.,Tier 2,Tier 1,Female,Yes,1,Not Placed,0
7.08,84,77,67,84,86.3,2,2,23,Data Science,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
7.69,59,68,35,79,73.44,1,2,23,CSE,B.E.,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
8.11,44,84,62,72,78.24,3,1,21,Civil,B.E.,Tier 1,Tier 2,Male,Yes,2,Not Placed,0
6.86,65,75,59,72,72.42,5,3,23,Mechanical,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
7.76,46,64,87,70,96.1,1,2,24,CSE,B.Tech,Tier 3,Tier 2,Male,No,0,Placed,1
6.97,55,84,54,69,80.16,0,2,24,CSE,B.Tech,Tier 3,Tier 2,Male,No,0,Not Placed,0
7.06,59,88,85,62,91.47,3,2,23,AI & ML,B.Tech,Tier 1,Tier 1,Male,Yes,1,Placed,1
7.03,84,34,45,72,85.73,1,4,22,Civil,B.Tech,Tier 1,Tier 2,Male,No,3,Not Placed,0
6.47,68,44,50,69,78.08,0,0,23,ISE,B.Tech,Tier 2,Tier 3,Male,No,0,Not Placed,0
7.38,65,88,65,50,90.78,0,0,20,ISE,B.Tech,Tier 1,Tier 2,Female,Yes,0,Placed,1
7.4,76,83,53,81,66.49,4,1,20,AI & ML,B.Tech,Tier 1,Tier 1,Female,No,0,Placed,1
8.05,55,80,75,56,90.81,2,2,23,Data Science,B.Tech,Tier 3,Tier 2,Male,Yes,0,Placed,1
7.71,56,63,43,67,71.83,4,1,21,Mechanical,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
6.88,71,59,72,60,75.93,3,1,22,Mechanical,B.Tech,Tier 1,Tier 1,Female,Yes,1,Not Placed,0
8.06,62,100,83,74,89.73,1,1,23,ECE,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
7.63,48,88,73,66,71.06,3,0,21,CSE,B.E.,Tier 1,Tier 1,Male,No,0,Placed,1
9.61,84,70,86,54,66.14,1,1,24,CSE,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
8.17,51,76,90,69,81.43,0,1,23,Data Science,B.E.,Tier 2,Tier 2,Male,No,0,Not Placed,0
6.18,64,76,75,74,96.37,2,2,22,CSE,B.Tech,Tier 1,Tier 2,Male,No,0,Not Placed,0
8.83,79,100,60,78,84.98,4,5,23,AI & ML,B.E.,Tier 2,Tier 3,Male,Yes,0,Placed,1
6.31,64,38,58,49,87.61,0,4,21,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
6.86,70,83,77,70,71.39,1,0,21,ECE,B.E.,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
8.06,65,95,46,76,83.93,1,0,20,CSE,B.Tech,Tier 1,Tier 1,Female,No,1,Not Placed,0
8.98,97,70,93,59,100.0,2,2,21,EEE,B.E.,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
6.93,63,30,66,46,85.62,4,1,20,ECE,B.E.,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
8.03,62,76,76,57,98.88,0,6,20,ECE,B.Tech,Tier 1,Tier 3,Male,Yes,0,Placed,1
9.37,90,96,76,81,79.7,3,4,24,AI & ML,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
7.94,52,67,70,51,84.01,2,2,23,CSE,B.Tech,Tier 2,Tier 3,Female,No,1,Placed,1
7.74,73,81,76,50,67.77,3,4,24,CSE,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
7.37,55,46,44,67,88.13,0,2,22,CSE,B.Tech,Tier 3,Tier 2,Female,No,0,Not Placed,0
7.17,81,56,84,74,76.9,1,2,24,CSE,B.E.,Tier 2,Tier 3,Female,Yes,0,Placed,1
9.19,100,86,73,71,72.23,2,4,20,CSE,B.E.,Tier 3,Tier 3,Female,Yes,0,Placed,1
8.31,89,67,76,71,78.37,1,2,23,EEE,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
6.23,27,71,55,66,89.56,2,1,23,CSE,B.Tech,Tier 3,Tier 2,Female,No,0,Placed,1
8.67,73,85,68,53,92.07,2,2,22,CSE,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
7.34,65,61,69,82,78.73,4,0,22,CSE,B.Tech,Tier 3,Tier 1,Other,No,0,Placed,1
8.02,68,100,87,48,93.43,2,3,24,CSE,B.Tech,Tier 2,Tier 2,Male,No,2,Not Placed,0
8.26,64,61,70,70,83.69,2,2,23,EEE,B.E.,Tier 2,Tier 3,Female,Yes,0,Placed,1
9.04,76,95,73,75,70.32,1,0,20,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.42,68,62,46,67,79.85,4,1,20,CSE,B.E.,Tier 1,Tier 2,Male,No,0,Placed,1
7.67,70,78,54,56,76.82,1,3,22,ECE,B.Tech,Tier 3,Tier 2,Male,No,0,Not Placed,0
9.57,59,85,74,78,75.8,1,1,23,AI & ML,B.Tech,Tier 3,Tier 2,Male,No,3,Placed,1
7.6,64,65,47,50,82.35,0,3,24,AI & ML,B.Tech,Tier 1,Tier 3,Female,Yes,0,Placed,1
6.72,67,58,82,77,73.29,5,0,23,CSE,B.E.,Tier 2,Tier 3,Male,Yes,1,Not Placed,0
8.31,65,100,88,64,67.71,5,2,23,ISE,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
9.08,83,98,74,39,85.45,3,2,22,CSE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
9.45,100,100,94,83,79.3,4,0,21,Data Science,B.Tech,Tier 1,Tier 2,Female,No,0,Placed,1
7.15,79,70,78,73,85.41,1,1,24,Mechanical,B.Tech,Tier 3,Tier 2,Male,Yes,1,Not Placed,0
6.48,57,70,75,87,82.17,2,0,23,CSE,B.Tech,Tier 3,Tier 3,Male,No,0,Not Placed,0
7.06,100,24,52,71,77.33,3,3,21,ECE,B.Tech,Tier 2,Tier 3,Female,Yes,1,Not Placed,0
7.16,53,72,50,86,78.98,0,0,22,CSE,B.Tech,Tier 2,Tier 3,Female,Yes,0,Not Placed,0
7.97,71,82,60,76,80.93,2,4,24,Civil,B.Tech,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
7.66,61,44,53,55,76.74,3,1,20,Mechanical,B.Tech,Tier 3,Tier 2,Male,No,0,Not Placed,0
9.07,47,61,78,70,90.6,0,5,21,Data Science,B.Tech,Tier 2,Tier 3,Male,No,1,Not Placed,0
6.48,80,52,71,61,79.12,4,0,20,ECE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
8.29,74,99,76,66,96.48,3,3,22,ECE,B.Tech,Tier 1,Tier 3,Female,Yes,0,Placed,1
8.54,82,91,85,77,87.62,2,0,22,CSE,B.E.,Tier 2,Tier 1,Male,No,1,Not Placed,0
9.52,73,68,55,45,81.34,6,2,21,CSE,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
8.7,68,42,66,53,83.75,2,2,22,Civil,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
7.25,73,53,78,78,87.56,1,1,24,ECE,B.Tech,Tier 2,Tier 2,Female,Yes,0,Not Placed,0
8.37,89,86,59,46,66.47,1,3,21,ISE,B.Tech,Tier 3,Tier 2,Male,Yes,0,Placed,1
6.59,43,67,58,58,77.21,3,0,22,ECE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.95,76,91,95,51,85.84,1,4,21,ECE,B.Tech,Tier 3,Tier 2,Male,Yes,2,Placed,1
7.92,70,93,58,76,97.67,1,2,21,AI & ML,B.Tech,Tier 3,Tier 2,Male,Yes,0,Not Placed,0
8.4,84,81,78,74,78.4,2,1,23,EEE,B.Tech,Tier 2,Tier 1,Male,Yes,0,Placed,1
7.01,60,66,43,65,85.86,3,1,23,CSE,B.E.,Tier 3,Tier 1,Female,Yes,0,Not Placed,0
5.35,54,75,85,90,83.3,4,1,22,Data Science,B.E.,Tier 2,Tier 3,Male,No,0,Placed,1
8.34,70,85,78,54,64.58,2,0,20,ECE,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
7.0,78,69,78,57,87.1,1,1,20,ECE,B.E.,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
9.03,70,64,63,51,92.26,4,1,20,EEE,B.Tech,Tier 1,Tier 1,Male,Yes,0,Placed,1
7.6,64,78,64,48,68.08,3,2,23,Data Science,B.Tech,Tier 3,Tier 2,Female,Yes,3,Placed,1
6.64,56,63,62,81,82.53,2,1,22,CSE,B.Tech,Tier 3,Tier 3,Female,No,1,Not Placed,0
7.56,62,71,50,46,81.12,3,0,21,ECE,B.Tech,Tier 1,Tier 1,Female,No,0,Placed,1
8.24,55,100,88,52,78.72,6,3,22,ISE,B.Tech,Tier 3,Tier 3,Female,Yes,1,Placed,1
8.82,57,58,73,46,93.37,3,2,20,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.2,73,55,50,51,82.24,1,4,20,Civil,B.E.,Tier 3,Tier 1,Female,Yes,0,Not Placed,0
7.89,72,58,69,66,81.61,4,3,22,EEE,B.Tech,Tier 3,Tier 3,Male,No,1,Not Placed,0
10.0,100,72,80,68,85.22,1,3,22,CSE,B.Tech,Tier 1,Tier 3,Male,Yes,0,Placed,1
9.44,63,66,77,57,78.13,2,1,24,ISE,B.Tech,Tier 2,Tier 1,Male,No,2,Placed,1
7.96,50,100,36,80,80.79,4,4,22,Data Science,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
9.24,67,33,34,77,80.69,3,4,22,Data Science,B.Tech,Tier 3,Tier 1,Male,No,1,Placed,1
7.06,60,63,32,69,80.03,2,2,22,AI & ML,B.Tech,Tier 3,Tier 1,Male,No,1,Not Placed,0
9.92,80,93,65,82,72.46,3,3,22,Data Science,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
7.48,81,41,43,72,86.17,0,1,24,Civil,B.E.,Tier 3,Tier 2,Female,Yes,3,Not Placed,0
8.07,68,78,96,65,84.96,1,4,22,CSE,B.E.,Tier 1,Tier 1,Male,Yes,1,Placed,1
8.47,67,60,45,56,83.15,4,4,24,EEE,B.E.,Tier 1,Tier 3,Male,Yes,1,Placed,1
7.22,82,60,60,60,79.27,0,3,24,ISE,B.E.,Tier 2,Tier 2,Male,No,3,Not Placed,0
7.85,75,63,58,72,92.76,2,0,20,EEE,B.E.,Tier 2,Tier 3,Male,No,2,Not Placed,0
7.75,58,100,87,65,90.12,2,3,23,ISE,B.E.,Tier 2,Tier 3,Female,Yes,1,Placed,1
8.93,90,93,83,89,81.75,4,4,21,ISE,B.Tech,Tier 1,Tier 2,Female,No,0,Placed,1
5.98,66,77,52,80,76.53,3,3,20,ISE,B.Tech,Tier 1,Tier 2,Female,No,0,Placed,1
7.12,74,81,55,83,87.49,2,4,24,CSE,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
9.23,81,89,54,54,74.76,2,2,21,ECE,B.Tech,Tier 2,Tier 2,Female,Yes,0,Placed,1
8.26,77,78,75,69,87.46,1,2,22,CSE,B.E.,Tier 1,Tier 3,Male,No,3,Not Placed,0
6.97,69,52,68,71,82.25,2,1,20,CSE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Not Placed,0
9.06,70,96,64,62,75.95,1,2,22,AI & ML,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.41,82,68,61,74,84.5,3,1,21,Civil,B.Tech,Tier 2,Tier 3,Female,No,1,Placed,1
7.62,68,68,68,63,82.94,2,3,23,CSE,B.Tech,Tier 2,Tier 1,Female,No,0,Not Placed,0
9.91,86,100,89,88,74.54,4,1,20,CSE,B.Tech,Tier 3,Tier 1,Male,Yes,1,Placed,1
8.1,87,63,37,80,84.93,4,1,21,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
7.67,61,69,75,90,82.03,4,3,22,CSE,B.Tech,Tier 3,Tier 3,Female,Yes,0,Placed,1
7.87,68,70,50,74,79.84,2,3,21,Data Science,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
8.09,74,64,75,76,86.11,1,3,23,AI & ML,B.E.,Tier 3,Tier 1,Female,Yes,0,Placed,1
8.02,91,94,53,61,72.39,3,2,21,AI & ML,B.Tech,Tier 2,Tier 2,Female,No,1,Placed,1
8.4,59,56,55,77,80.41,2,0,22,ECE,B.E.,Tier 3,Tier 3,Female,No,0,Not Placed,0
8.81,92,88,79,79,89.15,3,3,20,AI & ML,B.E.,Tier 2,Tier 3,Male,Yes,1,Placed,1
8.6,57,57,72,69,65.05,3,1,20,Mechanical,B.E.,Tier 1,Tier 1,Male,No,0,Placed,1
7.15,65,88,56,52,100.0,3,1,21,Data Science,B.Tech,Tier 3,Tier 3,Male,Yes,1,Placed,1
9.23,71,77,100,61,91.02,0,3,23,Civil,B.E.,Tier 2,Tier 2,Female,Yes,0,Not Placed,0
8.72,64,77,67,61,68.97,0,2,24,ECE,B.Tech,Tier 3,Tier 2,Male,No,0,Not Placed,0
7.62,69,78,56,60,76.16,2,2,20,CSE,B.Tech,Tier 1,Tier 2,Female,Yes,1,Not Placed,0
7.19,48,41,71,71,75.34,0,1,21,EEE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
7.14,64,52,44,45,78.88,2,1,24,Civil,B.Tech,Tier 2,Tier 2,Male,Yes,1,Placed,1
8.58,82,76,51,53,85.19,1,0,20,EEE,B.Tech,Tier 3,Tier 1,Male,Yes,0,Not Placed,0
8.85,83,85,77,41,89.95,2,0,23,ISE,B.Tech,Tier 1,Tier 2,Male,No,2,Placed,1
7.21,59,83,65,58,86.35,2,1,22,CSE,B.Tech,Tier 2,Tier 1,Male,No,0,Placed,1
6.56,76,79,79,66,80.47,1,1,20,Data Science,B.Tech,Tier 3,Tier 2,Female,No,0,Not Placed,0
7.01,56,89,67,66,77.56,1,3,24,Civil,B.Tech,Tier 2,Tier 3,Male,No,0,Not Placed,0
9.54,93,99,58,73,82.21,4,1,22,Civil,B.Tech,Tier 1,Tier 1,Male,No,0,Placed,1
7.13,76,56,72,71,98.79,0,3,20,Data Science,B.E.,Tier 1,Tier 3,Female,No,1,Not Placed,0
7.74,51,64,52,63,90.64,1,2,23,Data Science,B.Tech,Tier 2,Tier 3,Other,Yes,2,Not Placed,0
8.32,78,90,46,82,71.78,5,1,20,CSE,B.Tech,Tier 2,Tier 3,Male,Yes,0,Placed,1
7.41,68,68,79,55,68.51,1,1,21,Civil,B.Tech,Tier 3,Tier 3,Male,Yes,0,Placed,1
7.82,63,88,37,61,89.9,4,0,23,Civil,B.Tech,Tier 2,Tier 1,Male,Yes,0,Placed,1
7.58,68,81,62,49,83.93,3,0,20,Data Science,B.E.,Tier 1,Tier 1,Male,No,0,Not Placed,0
8.8,71,55,55,93,80.36,1,5,23,ECE,B.Tech,Tier 3,Tier 2,Female,Yes,0,Not Placed,0
7.29,65,47,82,68,72.79,3,1,22,ECE,B.Tech,Tier 2,Tier 1,Male,No,2,Placed,1
9.02,98,66,67,41,83.89,1,2,23,ECE,B.Tech,Tier 2,Tier 2,Male,No,0,Not Placed,0
8.05,61,88,61,65,83.59,1,1,21,ISE,B.Tech,Tier 3,Tier 3,Male,No,0,Placed,1
9.04,58,80,38,75,75.77,2,2,23,Data Science,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
8.56,56,71,64,45,87.98,0,1,21,Mechanical,B.Tech,Tier 2,Tier 3,Male,Yes,0,Not Placed,0
7.06,53,69,57,78,88.7,2,3,24,ECE,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
7.02,68,52,70,80,85.34,4,1,22,Data Science,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
7.17,49,89,78,73,82.11,1,3,22,Mechanical,B.E.,Tier 1,Tier 3,Male,Yes,0,Not Placed,0
6.43,64,85,73,46,84.72,2,4,23,AI & ML,B.Tech,Tier 2,Tier 2,Female,No,0,Not Placed,0
9.18,62,47,48,69,74.23,3,0,20,ISE,B.Tech,Tier 3,Tier 3,Male,No,0,Not Placed,0
8.71,86,88,71,62,88.34,3,3,24,ISE,B.Tech,Tier 2,Tier 3,Female,No,2,Not Placed,0
9.1,60,96,58,67,80.23,3,1,20,CSE,B.E.,Tier 2,Tier 3,Male,No,0,Placed,1
9.35,87,81,73,64,90.94,2,3,24,CSE,B.Tech,Tier 1,Tier 1,Female,No,0,Placed,1
6.4,76,69,57,79,81.31,2,2,23,Mechanical,B.E.,Tier 2,Tier 2,Male,Yes,0,Placed,1
8.44,81,61,53,65,87.94,4,3,24,AI & ML,B.E.,Tier 2,Tier 3,Female,Yes,0,Placed,1
8.2,81,74,80,55,81.02,2,2,22,Data Science,B.Tech,Tier 2,Tier 2,Female,Yes,0,Not Placed,0
9.02,78,69,75,55,80.17,2,1,23,ECE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
9.68,85,61,69,75,76.62,3,2,22,Mechanical,B.E.,Tier 2,Tier 3,Female,No,0,Placed,1
8.03,60,68,95,85,100.0,0,0,24,Mechanical,B.Tech,Tier 1,Tier 1,Female,No,0,Not Placed,0
7.28,78,82,70,71,89.26,1,4,24,ISE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
8.53,64,61,69,49,83.82,1,1,21,CSE,B.Tech,Tier 2,Tier 1,Male,Yes,2,Not Placed,0
7.1,61,40,69,41,74.33,5,0,24,EEE,B.Tech,Tier 1,Tier 3,Male,No,0,Not Placed,0
8.3,68,74,77,77,86.8,1,4,21,AI & ML,B.Tech,Tier 2,Tier 3,Female,No,0,Placed,1
8.94,68,71,78,46,85.11,1,1,23,Mechanical,B.Tech,Tier 3,Tier 2,Male,No,0,Not Placed,0
7.32,58,65,49,61,76.91,0,2,22,Mechanical,B.Tech,Tier 2,Tier 2,Male,Yes,0,Not Placed,0
7.77,56,60,44,47,72.05,1,3,22,AI & ML,B.E.,Tier 2,Tier 2,Female,No,1,Placed,1
5.29,79,25,46,61,86.45,2,3,22,ECE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
7.61,85,55,100,63,90.21,2,1,20,CSE,B.Tech,Tier 2,Tier 2,Female,Yes,0,Not Placed,0
7.89,60,80,58,68,80.23,2,2,23,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
8.28,65,88,76,43,82.44,4,2,20,CSE,B.Tech,Tier 1,Tier 3,Male,No,0,Placed,1
6.35,55,57,70,72,71.13,1,2,23,CSE,B.Tech,Tier 3,Tier 3,Male,Yes,0,Not Placed,0
7.72,64,68,68,60,98.96,5,1,23,AI & ML,B.E.,Tier 2,Tier 3,Male,No,0,Not Placed,0
7.18,60,50,69,56,78.29,3,5,22,Civil,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.59,57,48,44,59,79.22,2,1,21,AI & ML,B.Tech,Tier 2,Tier 1,Male,Yes,1,Not Placed,0
7.74,81,64,73,43,86.13,5,1,20,AI & ML,B.Tech,Tier 3,Tier 2,Female,Yes,0,Placed,1
6.53,65,38,38,83,98.76,0,1,23,EEE,B.E.,Tier 1,Tier 3,Female,Yes,0,Not Placed,0
7.9,71,68,68,58,82.03,2,0,21,CSE,B.Tech,Tier 3,Tier 3,Female,Yes,2,Placed,1
7.67,76,78,82,61,76.1,4,1,20,AI & ML,B.E.,Tier 2,Tier 1,Male,Yes,0,Placed,1
8.05,62,84,60,77,89.08,1,4,20,CSE,B.Tech,Tier 2,Tier 2,Male,No,0,Placed,1
6.73,60,81,48,91,78.43,2,3,20,ECE,B.Tech,Tier 2,Tier 2,Female,No,0,Placed,1
7.61,73,35,35,71,85.27,2,2,21,ECE,B.Tech,Tier 3,Tier 3,Male,No,0,Not Placed,0
7.26,82,43,32,71,78.16,2,2,22,ECE,B.E.,Tier 3,Tier 2,Male,No,2,Not Placed,0
8.13,60,74,75,80,70.13,1,2,20,CSE,B.Tech,Tier 2,Tier 3,Male,No,0,Placed,1
7.97,50,77,58,45,85.76,2,4,23,Data Science,B.E.,Tier 2,Tier 2,Female,Yes,0,Placed,1
7.45,56,72,54,49,64.24,1,3,22,CSE,B.Tech,Tier 2,Tier 2,Male,Yes,0,Placed,1
7.89,84,47,60,56,89.16,0,1,22,ECE,B.E.,Tier 1,Tier 2,Male,No,1,Not Placed,0
8.5,87,61,51,63,77.47,0,0,22,Data Science,B.Tech,Tier 2,Tier 2,Female,Yes,0,Placed,1
7.77,61,100,92,71,71.94,4,4,23,CSE,B.Tech,Tier 2,Tier 1,Female,Yes,0,Placed,1
6.59,83,62,100,73,78.14,2,4,22,ECE,B.Tech,Tier 2,Tier 2,Male,Yes,2,Not Placed,0
8.89,73,76,88,41,94.88,1,2,22,Data Science,B.E.,Tier 1,Tier 1,Female,No,0,Placed,1
7.29,58,72,58,68,86.92,1,3,21,CSE,B.E.,Tier 1,Tier 2,Female,Yes,0,Placed,1
7.43,66,62,63,73,80.02,0,1,22,ISE,B.Tech,Tier 3,Tier 1,Female,Yes,0,Not Placed,0
6.78,82,60,43,36,73.21,3,2,22,Data Science,B.Tech,Tier 1,Tier 1,Male,Yes,0,Not Placed,0
7.51,50,56,51,35,80.3,3,0,20,ISE,B.E.,Tier 3,Tier 1,Male,Yes,0,Placed,1
7.88,71,63,88,73,93.85,2,2,22,Mechanical,B.E.,Tier 2,Tier 2,Male,No,0,Placed,1
8.54,80,70,48,91,99.98,0,1,21,ECE,B.Tech,Tier 3,Tier 1,Male,Yes,1,Not Placed,0
9.46,68,88,41,45,74.88,0,3,24,ISE,B.Tech,Tier 1,Tier 2,Male,Yes,0,Placed,1
8.17,65,82,46,68,88.1,2,2,24,AI & ML,B.E.,Tier 3,Tier 2,Male,Yes,0,Placed,1
