course_title,course_organization,course_certificate_type,course_time,course_rating,course_reviews_num,course_difficulty,course_url,course_students_enrolled,course_skills_clean,course_summary,course_description,course_rank
Climate Change and Sustainable Investing,EDHEC Business School,Specialization,3 - 6 Months,4.9,788.0,beginner,https://www.coursera.org/specializations/climatechangeandsustainableinvesting,"10,344","understand the various policy approaches involved in the transition to a low carbon economy including in particular cap & trade carbon markets, learn to assess how climate change impacts financial portfolios and and how to manage climate risk in equity portfolios, understand how climate change risks impact corporate decisions and company value, understand the instruments investment funds and solutions used to finance clean technologies and clean energy, understanding the evidence for climate change and for its anthropogenic origin",[],"Prepárate para una nueva carrera en ciberseguridad, que podrás completar en alrededor de seis meses, sin necesidad de contar con experiencia ni acreditar título universitario. Con esta formación profesional diseñada por Google, podrás acceder a nuevas oportunidades laborales en un campo de alto crecimiento. La ciberseguridad se centra en proteger los datos de las amenazas cibernéticas, como el fraude y la suplantación de identidad, y en evitar el acceso no autorizado a los sistemas y redes informáticas. Las/los analistas de ciberseguridad utilizan una variedad de métodos, tecnologías y procesos para proteger de estos riesgos y amenazas externas, a una empresa u organización y a las personas que compran sus productos o utilizan sus servicios. 
Además,en caso de ocurrir un incidente, deberán investigar e informar de sus hallazgos.
Al completar este Certificado, llevado adelante por especialistas en ciberseguridad de Google, habrás adquirido las habilidades y herramientas necesarias para un trabajo de nivel inicial en el campo de la ciberseguridad.  Podrás finalizar el programa en alrededor de 6 meses, con una dedicación menor a 10 horas semanales. 
Con tu preparación, podrás aspirar a trabajos de analista de seguridad o ciberseguridad, analista del Centro de Operaciones de Seguridad (SOC) y más. 
Applied Learning Project
En el programa se incluyen 180 horas de instrucción y evaluaciones prácticas, que simulan situaciones reales de ciberseguridad. A través de una combinación de videos, evaluaciones y ejercicios prácticos, conocerás las herramientas, plataformas de análisis y habilidades en ciberseguridad necesarias para un trabajo de nivel inicial.
Entre las habilidades que obtendrás están: seguridad de la red, seguridad de la información, resolución de problemas, pensamiento crítico, análisis de amenazas y evaluación de vulnerabilidades.
Aprenderás a usar, entre otras, las siguientes  plataformas y herramientas: Bash, Chronicle, Linux, Python, Splunk, Suricata, SQL, tcpdump, VirusTotal y WireShark
Además, cada curso en el programa incluye actividades prácticas cuyos resultados podrás compartir en futuras entrevistas de trabajo, para demostrar habilidades altamente demandadas en el mercado.
",32.68675497214478
"Make the Sale: Build, Launch, and Manage E-commerce Stores",Google,Course,1 - 4 Weeks,4.8,878.0,beginner,https://www.coursera.org/learn/make-the-sale,"81,460","fulfillment and delivery, website structure, e-commerce platforms, e-commerce strategy, seasonality","['Understand essential e-commerce strategies and practices', 'Explain what e-commerce stores and platforms are and how they work', 'Create an engaging customer experience online using best practices', 'Set up a mock e-commerce store using Shopify']","Make the Sale: Build, Launch, and Manage E-commerce Stores is the sixth of seven courses in the Google Digital Marketing & E-commerce Certificate. This course explores how businesses and individuals sell products online, including using popular platforms like Shopify.  You’ll go through the process of creating a mock e-commerce store. To do this, you’ll build a Shopify store, add the necessary information, and create product listings. You’ll explore how to reach customers online through e-commerce customer outreach methods like advertisements and campaigns.
Google employees who currently work in the field will guide you, providing hands-on activities and examples that simulate common digital marketing and e-commerce tasks while showing you some of the best tools and resources used on the job.

Learners who complete the seven courses in this program will be ready to apply for entry-level jobs in digital marketing and e-commerce. No previous experience is necessary.

By the end of this course, you will be able to do the following: 
- Understand essential e-commerce strategies and practices
- Explain how to conduct market research and product research
- Set up a mock e-commerce store using Shopify
- Use Google Ads to engage e-commerce customers
- Explain how trends and seasonality affect e-commerce businesses
- Use best practices to create an engaging customer experience online
- Describe the order fulfillment process through checkout, point of sale (POS), shipping, and delivery. 
- Optimize a checkout flow for customers
",32.53816750888885
Pricing Strategy Optimization,University of Virginia,Specialization,3 - 6 Months,4.8,864.0,beginner,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy,"16,149","cost-based pricing, pricing strategies, market-based pricing, customer value-based pricing, strategic management","['How to utilize the strategic power of pricing to set profit maximizing prices  ', 'Cost and economics in pricing strategy', 'How to leverage knowledge of customer value to develop a pricing strategy', 'Market and competitor pricing models that inform pricing decisions']","In this Specialization, we show you techniques to increase price realization and maximize profits. Learn from Boston Consulting Group's global pricing experts and University of Virginia Darden School of Business faculty, who share the frameworks, tips and tools we use in our business and research environments. We will look at pricing through BCG's proprietary and time-tested three “lenses”—cost and economics, customer value, and competition—to build your understanding of the strategic power of pricing. You’ll leave the Specialization with a portfolio-building presentation that demonstrates your ability to price strategically.
Applied Learning Project
Utilizing the concepts, tools and techniques taught in each course—from basic techniques of economics to knowledge of customer segments, willingness to pay, and customer decision making to analysis of market prices, share, and industry dynamics—you will practice setting profit maximizing prices to improve price realization in a variety of real-world scenarios. 
",32.46110163327302
Introduction to Healthcare,Stanford University,Course,1 - 3 Months,4.8,851.0,beginner,https://www.coursera.org/learn/intro-to-healthcare,"37,219",,"['Demonstrate an understanding of operating system fundamentals. ', 'Recognize desktop and laptop hardware components and devices.', 'Identify and describe internal desktop and laptop computer components, interfaces, and peripherals. ', 'Explain basic workstation setup, locate operating system settings, and identify good troubleshooting practices.']","Get ready to enter the thriving field of Information Technology (IT), with job ready skills! This beginner friendly course provides the core hardware and operating system knowledge needed by anyone new to IT and computer hardware who wants to start a new career in technology, including IT Support, Networking, Cybersecurity, and Software Development.  
You will first be introduced to computing fundamentals, the four functions of computing, and the benefits of computing. You will become knowledgeable of internal computer components, including motherboards, central processing units (CPUs), memory, hard drives, expansion slots, and others. Learn to identify interfaces, ports, connectors, and peripherals.  

You will become familiar with tasks that IT professionals perform; including workstation procurement, workstation setup processes, configure commonly used operating system settings & screen capture commands, computer acquisition practices, and job-essential troubleshooting processes.  

By the end of this course, you will become knowledgeable about hardware and operating systems, mobile operating systems, interfaces and connectors, Linux, and macOS. Throughout the course you will practice what you learn using interactive exercises and hands-on labs. At the end of the course, you will have the opportunity to complete a final project where you will apply your understanding of course content. 

This course is also part of the series to help you prepare for CompTIA ITF+ and A+ certification exams.
",32.38841532878071
Algae Biotechnology,University of California San Diego,Course,1 - 3 Months,4.8,456.0,intermediate,https://www.coursera.org/learn/algae-biotechnology,"12,313",,[],"For decades, researchers have been studying microalgae to understand their biological functions and how we can use technology to harness algae’s power to create a wide range of commercial products. 
In this course, we will cover how synthetic biology, genetic engineering, and metabolic engineering is used in algae biotechnology, and also examine the current state of algae biotechnology research and tools.

We’ll also explore some of the common bio-products we can make from algae, and take a look at some real-world algae companies that are using algae biotechnology to create products consumers can buy today. 

This course is part of a series of courses produced by the Algae Technology Educational Consortium and UC San Diego with funding from the Algae Foundation, National Renewable Energy Lab, and the U.S. Department of Energy.
",32.3383283039214
Diversité et inclusion sur le lieu de travail,ESSEC Business School,Course,1 - 4 Weeks,4.7,970.0,beginner,https://www.coursera.org/learn/diversite-inclusion-travail,"9,208",,"['Aplicar bases teóricas que sustenten un pensamiento crítico al realizar trabajos de diseño instruccional.', 'Identificar y comprender modelos y estrategias de enseñanza, metodologías educativas y movilización de REA.', 'Conocer nuevas herramientas tecnológicas que están ganando espacio en la escena educativa.', 'Aplicar recursos de pedagogía digital que contribuyan a la equidad y calidad en la educación.']","Este programa especializado te orienta hacia la construcción de ambientes de aprendizaje y te da la oportunidad de conocer la perspectiva de expertos en el tema así como la posibilidad de revalidar estos contenidos como una materia de Posgrados en Línea.
Applied Learning Project
El resulltado de este programa será el desarollo de un proyecto de diseño instruccional que aborde las cuatro principales fases que integran el ciclo de vida del mismo, las cuales son: estructuración, planeación, implementación y evaluación, integrando el aprendizaje activo en ambientes de aprendizaje innovadores e integrando los componentes de pedagogía digital.
",32.328134400969226
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,Course,1 - 3 Months,4.7,517.0,intermediate,https://www.coursera.org/learn/crash-course-in-causality,"39,004","instrumental variable, propensity score matching, causal inference, causality",[],"We have all heard the phrase “correlation does not equal causation.”  What, then, does equal causation?  This course aims to answer that question and more!  
Over a period of 5 weeks, you will learn how causal effects are defined, what assumptions about your data and models are necessary, and how to implement and interpret some popular statistical methods.  Learners will have the opportunity to apply these methods to example data in R (free statistical software environment).

At the end of the course, learners should be able to:
1.  Define causal effects using potential outcomes
2.  Describe the difference between association and causation
3.  Express assumptions with causal graphs
4.  Implement several types of causal inference methods (e.g. matching, instrumental variables, inverse probability of treatment weighting)
5.  Identify which causal assumptions are necessary for each type of statistical method

So join us.... and discover for yourself why modern statistical methods for estimating causal effects are indispensable in so many fields of study!
",32.31237200248153
Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,Specialization,3 - 6 Months,4.7,517.0,intermediate,https://www.coursera.org/specializations/autodesk-cad-cam-cae-mechanical-engineering,"44,843","computer-aided engineering (cae), manufacturing process management, computed aided design, computer-aided manufacturing, mechanical engineering",[],"This course provides an intensive conceptual and applied introduction to auditing in society. It focuses on concepts and applications related to financial-statement auditors’ professional responsibilities as well as major facets of the audit process including risk assessment and audit reporting. In the U.S. financial-statement audits and related services generally are provided by Certified Public Accountants (CPAs). To succeed in this course, you should anticipate engaging in critical thinking and thoughtful communication about audit professionals' decision environments, decision processes, and deliverables. Additionally, you should understand the macro-level learning objectives in each of the course's weekly modules.
",32.31237200248153
The Power of Statistics,Google,Course,1 - 3 Months,4.8,270.0,advanced,https://www.coursera.org/learn/the-power-of-statistics,"22,700","statistical analysis, python programming, effective communication, statistical hypothesis testing, probability distribution","['Explore and summarize a dataset ', 'Use probability distributions to model data', 'Conduct a hypothesis test to identify insights about data', 'Perform statistical analyses using Python\xa0']","This is the fourth of seven courses in the Google Advanced Data Analytics Certificate. In this course, you’ll discover how data professionals use statistics to analyze data and gain important insights. You'll explore key concepts such as descriptive and inferential statistics, probability, sampling, confidence intervals, and hypothesis testing. You'll also learn how to use Python for statistical analysis and practice communicating your findings like a data professional. 
Google employees who currently work in the field will guide you through this course by providing hands-on activities that simulate relevant tasks, sharing examples from their day-to-day work, and helping you enhance your data analytics skills to prepare for your career. 

Learners who complete the seven courses in this program will have the skills needed to apply for data science and advanced data analytics jobs. This certificate assumes prior knowledge of foundational analytical principles, skills, and tools covered in the Google Data Analytics Certificate.   

By the end of this course, you will:
-Describe the use of statistics in data science 
-Use descriptive statistics to summarize and explore data
-Calculate probability using basic rules
-Model data with probability distributions
-Describe the applications of different sampling methods 
-Calculate sampling distributions 
-Construct and interpret confidence intervals
-Conduct hypothesis tests
",32.268204408267074
Sales Training for High Performing Teams,HubSpot Academy,Specialization,1 - 3 Months,4.7,952.0,beginner,https://www.coursera.org/specializations/sales-training-high-performing-teams,"13,320","sales management, sales, strategy, career growth",[],"This specialization is intended for sales professionals at any point in their career, whether they're just starting to apply for sales jobs or leading a global sales organization. Each course follows a sales career progression, from just getting started, to mastering sales, managing sales, and executing an overall business strategy. No matter where you are in your career, this specialization will give you  a new perspective on what it's like to be a sales job seeker, individual contributor, manager, and executive.
Applied Learning Project
Learners will discuss sales strategy, apply what they've learned to their own organizations or the organizations they're applying to, and participate and review peer discussions to build sales skills that will serve them at all stages of their career.
",32.24019004717475
Microsoft Azure Data Engineering Associate (DP-203),Microsoft,Professional Certificate,3 - 6 Months,4.4,777.0,intermediate,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering,"25,321","develop for azure storage, develop azure compute solutions, connect to and consume azure services and third-party services, implement azure security, monitor and troubleshoot azure solutions",[],"This Professional Certificate is intended for data engineers and developers who want to demonstrate their expertise in designing and implementing data solutions that use Microsoft Azure data services anyone interested in preparing for the Exam DP-203: Data Engineering on Microsoft Azure. 

This Professional Certificate will help you develop expertise in designing and implementing data solutions that use Microsoft Azure data services. You will learn how to integrate, transform, and consolidate data from various structured and unstructured data systems into structures that are suitable for building analytics solutions that use Microsoft Azure data services. 

This program consists of 10 courses to help prepare you to take Exam DP-203: Data Engineering on Microsoft Azure. Each course teaches you the concepts and skills that are measured by the exam. 

By the end of this Professional Certificate, you will be ready to take and sign-up for the Exam DP-203: Data Engineering on Microsoft Azure.
Applied Learning Project
Learners will engage in interactive exercises throughout this program that offers opportunities to practice and implement what they are learning. They use the Microsoft Learn Sandbox. This is a free environment that allows learners to explore Microsoft Azure and get hands-on with live Microsoft Azure resources and services.

For example, when you learn about integrating, transforming, and consolidating data; you will work in a temporary Azure environment called the Sandbox or directly in the Azure Portal. The beauty about this is that you will be working with real technology but in a controlled environment, which allows you to apply what you learn, and at your own pace.

You will need a Microsoft account. If you don't have one, you can create one for free. The Learn Sandbox allows free, fixed-time access to a cloud subscription with no credit card required. Learners can safely explore, create, and manage resources without the fear of incurring costs or ""breaking production"".
",32.21855637702342
Digitalisation in Aeronautics and Space,Technische Universität München (TUM),Specialization,3 - 6 Months,4.5,669.0,intermediate,https://www.coursera.org/specializations/aerospace,"16,563",,"['Discover discrete-time signal and analyze them with the Fourier transform.', 'Learn to manipulate signals with filters.', 'Move back and forth from the analog to the digital world.', 'Learn about digital data communication and real-time DSP.']","This Specialization provides a full course in Digital Signal Processing, with a focus on audio processing and data transmission. You will start from the basic concepts of discrete-time signals and proceed to learn how to analyze data via the Fourier transform, how to manipulate data via digital filters and how to convert analog signals into digital format. Finally, you will also discover how to implement real-time DSP algorithms on a general-purpose microcontroller. The solid theoretical bases provided by the four courses in this specialization are complemented by applied examples in Python, in the form of Jupyter Notebooks; exercises with solutions provide a wealth of examples in order to tackle the weekly homework.
Applied Learning Project
The solid theoretical bases provided by the four courses in this specialization are complemented by applied examples in Python, in the form of Jupyter Notebooks; exercises with solutions provide a wealth of examples in order to tackle the weekly homework. This Specialization does not include a final project. You do not have to complete a final project in order to complete the Specialization.
",32.21102467630581
Leadership in 21st Century Organizations,Copenhagen Business School,Course,3 - 6 Months,4.8,820.0,mixed,https://www.coursera.org/learn/leadership-21st-century,"116,836","strategic management, leadership, collaboration, communications management","['Acquire an understanding of oneself and build inner stability.', 'Describe various leadership styles and how to lead downwards.', 'Explain the biases that impact communication and a leader’s decision-making capability.', 'Explore the art of leading upward and sideways.']","Welcome to the Leadership Skills course! In our increasingly complex world, understanding the practice of leadership is critical. In simpler words, leadership is the practice of influencing people to meet the challenges that will enable them to achieve important individual and organizational goals. This course provides a foundation for leadership practice and aims to take you on a journey of self-discovery. You will also gain insight into building inner stability and developing your leadership skills.
This is a beginner course designed for professionals from diverse work backgrounds. The course helps you lean on your experiences and strengthen your capacity to lead across boundaries, from any political or organizational position, with or without authority. The course will also enable you to learn important leadership skills, clarifying the relationships among key concepts such as definitions of leadership, self-management, authority, power, influence, politics, negotiations, change management, decision-making, and various leadership styles. This knowledge will provide you with a practical and coherent theoretical framework for applying and exercising leadership. Lastly, the course explores the challenge of managing the inevitable personal stresses and dangers of leading a team. The course draws from business management, philosophy, spirituality, history, literature, sports, communications, and psychology.

To succeed in this course, you should have experience or a basic understanding of working in organizations.
",32.21051092537165
ITIL 4 Exam Preparation,LearnQuest,Course,1 - 3 Months,4.7,936.0,mixed,https://www.coursera.org/learn/itil-4-exam-preparation,"42,890","itil 4 foundation topics, itil terminogy",[],"ITIL® 4 Foundation Test Preparation is designed to introduce learners to the key concepts, terminology, and best practices for creating, and improving the quality of IT services across the IT organization. This class is focused on exam preparation. Through a series of self-paced learning, practice quizzes and exams, students become acquainted with ITIL terminology, and how it applies to the Service Value Lifecycle.
This course requires 5 weeks at about 2-4 hours/week to complete.
",32.16061142652058
Work Smarter with Microsoft Word,Microsoft,Course,1 - 3 Months,4.7,936.0,beginner,https://www.coursera.org/learn/microsoft-word-work-smarter,"66,198","documents, microsoft word","['How to create and maintain professional-looking reports, multi-column newsletters, résumés, and business correspondence.', 'How to manage documents and document collaboration', 'How to insert and format text and graphic elements', 'How to manage tables and lists']","This course is intended for learners with some experience using Microsoft Windows, who are seeking to build presentation skills with Microsoft Word. To be successful in this course you should have an understanding of the basics of using a Windows-based computer. Experience with printing and using a web browser are an asset, but not required.
Knowing how to use Microsoft Office products is essential in any professional setting. Whether you want to expand your expertise to apply for a new role, start your own business, or simply develop a new personal skill this course is for you. 

This course will introduce you to Microsoft 365. You will become familiar with the apps and services included in an Office 365 subscription. If you are familiar with Word’s basic features you can take your skills to the next level. If you are not familiar with Microsoft products or are a beginner you will get the opportunity to develop basic word processing skills. 
 
This course covers the different features of the Word interface, shows you how to create a basic document, and introduces you to Word’s most important tools.

By the end of this course, you should be able to apply the necessary techniques to produce high-quality, professional documents. You will also understand how to create complex documents using tables, charts, references, and various types of illustrations.

This course will help you prepare for Exam MO-100: Microsoft Word (Word and Word 2019). This exam covers the ability to create and maintain professional-looking reports, multi-column newsletters, résumés, and business correspondence. Certification exam candidates are expected to demonstrate the correct application of the principal features of Word and complete tasks independently. You will get an opportunity to hone all these skills in this course.
",32.16061142652058
"Brand Management: Aligning Business, Brand and Behaviour",University of London,Course,1 - 3 Months,4.7,919.0,beginner,https://www.coursera.org/learn/brand,"15,439","corporate branding, brand marketing, brand management, brand identity","['Seven design principles for the ‘Blockchain Revolution’', 'Terms such as miner, hash, nonce, consensus mechanism, public key cryptography, cryptoasset, smart contract, DApp, and self-sovereign identity', 'Top 10 challenges for implementing blockchain technology', 'Blockchain applications and use-cases within the financial services industry']","As the Internet was the first digital medium for information, blockchain is the first native digital medium for value.  Blockchain is poised to transform the economy and society at large—redefining the ways we transact online, share ideas, and manage workflows. The financial services sector is a key lever in such transformations. 
This four-course specialization introduces learners to the world of blockchain technology for financial services—including what blockchain is, how it works, and why it is revolutionary. Students learn about various categories of cryptoassets and the ways they can be transacted on a blockchain. They learn how blockchain is transforming the economy and society at large—redefining workflows, global payments, and prosperity. As an outcome of this specialization, students produce a Strategic Action Plan wherein they identify and evaluate a promising application of blockchain technology within the financial services industry.
The Specialization is taught by Don Tapscott and Alex Tapscott, globally-recognized authorities on innovation and technology and authors of the best-selling book, “Blockchain Revolution.” It also includes various industry experts and practitioners who will share their experiences within the blockchain ecosystem.
Applied Learning Project
Upon completion of this Specialization, learners will produce a Strategic Action Plan, in which you identify and evaluate a promising application of blockchain technology within the financial services industry. The goals of this project are twofold: One, it’s for you to identify a specific need or problem within the financial services industry that can potentially be solved using blockchain technology. Two, it’s for you to investigate possible solutions to this problem, and to develop a strategic plan for how these solutions might be executed. You will accomplish different project milestones each week, and will be introduced to several tools to organize your findings.
",32.07455624920251
Automate Cybersecurity Tasks with Python,Google,Course,1 - 4 Weeks,4.7,915.0,beginner,https://www.coursera.org/learn/automate-cybersecurity-tasks-with-python,"68,630","computer programming, python programming, coding, pep 8 style guide","['Work with architectural and site elements, element materials, selection sets, and rooms and areas.', 'Create and manage views and annotations, work with families, and develop schedules.', 'Use workflows and processes such as worksharing, exporting and printing, and project maintenance and management.', 'Demonstrate the skills and knowledge required for taking the Autodesk Certified Professional: Revit for Architectural Design exam.']","Prove to potential employers that you’re up to the task by becoming an Autodesk Certified Professional. This online course from Autodesk prepares you by offering an overview of skills that match what is covered in the Autodesk Certified Professional: Revit for Architectural Design exam. The video lessons are structured to match the exam’s objective domains and follow the typical workflow and features of the Autodesk® Revit® Architecture software, including sections on modeling and materials, families, documentation, views, and Revit project management. In the course, you'll review advanced modeling architectural topics and work with walls, floors, roofs, ceilings, stairs, columns, and rooms. You'll also gain an understanding of exam topics such as family categories and types, phases and design options, schedules, and worksharing. Brush up on selection sets, detail components, color schemes, levels and grids, and much more.
About the Autodesk Certified Professional: Revit for Architectural Design exam:  
The Autodesk Certified Professional: Revit for Architectural Design exam is the recognized standard for measuring your architectural design skills and knowledge in Revit. The certification enables you to showcase your abilities and also signals to potential employers that your skills have been validated. This type of experience typically comes from having worked with the software on a regular basis for at least 2 years, equivalent to approximately 400 hours (minimum) - 1200 hours (recommended), of real-world Autodesk software experience.

The Autodesk Certified Professional (ACP) certifications exams can be taken at a Pearson VUE Testing Center or through OnVUE, Pearson VUE’s online proctored environment. Candidates are given 120 minutes to complete a certification exam and should review the testing center polices and requirements before scheduling. Ready to take the exam? Schedule to take the exam online or find a testing center near you on Pearsonvue.com/autodesk.

Looking for more skill-building courses? Check out Autodesk’s additional learning resources to help with your learning journey: https://www.autodesk.com/learning
",32.05407691396841
Key Technologies for Business,IBM,Specialization,1 - 3 Months,4.7,915.0,beginner,https://www.coursera.org/specializations/key-technologies-for-business,"32,301","data science, artificial intelligence (ai), business, cloud computing, technology",[],"This Specialization is intended for the learner with no previous programming experience or the career changer transitioning to software development. JavaScript is generally the first programming language you will need to learn and this Specialization will help you practice and build your skills through a gentle progression of modules and courses. 
Applied Learning Project
Learners will be able to follow along with the instructor and be able to apply and practice their learning through a series of low-stakes challenges and projects. Quizzes are the main assessment for this Specialization, along with Honor options in a couple of the courses.
",32.05407691396841
Harnessing the Power of Data with Power BI,Microsoft,Course,1 - 4 Weeks,4.7,908.0,beginner,https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi,"69,380","data analysis, power bi, data-driven decisions","['Describe the Linux architecture and common Linux distributions and update and install software on a Linux system. ', 'Perform common informational, file, content, navigational, compression, and networking commands in Bash shell. ', 'Develop shell scripts using Linux commands, environment variables, pipes, and filters.', 'Schedule cron jobs in Linux with crontab and explain the cron syntax.\xa0 ']","This course provides a practical understanding of common Linux / UNIX shell commands. In this beginner friendly course, you will learn about the Linux basics, Shell commands, and Bash shell scripting.   
You will begin this course with an introduction to Linux and explore the Linux architecture. You will interact with the Linux Terminal, execute commands, navigate directories, edit files, as well as install and update software. 

Next, you’ll become familiar with commonly used Linux commands. You will work with general purpose commands like id, date, uname, ps, top, echo, man; directory management commands such as pwd, cd, mkdir, rmdir, find, df; file management commands like cat, wget, more, head, tail, cp, mv, touch, tar, zip, unzip; access control command chmod; text processing commands - wc, grep, tr; as well as networking commands - hostname, ping, ifconfig and curl.  

You will then move on to learning the basics of shell scripting to automate a variety of tasks. You’ll create simple to more advanced shell scripts that involve Metacharacters, Quoting, Variables, Command substitution, I/O Redirection, Pipes & Filters, and Command line arguments. You will also schedule cron jobs using crontab. 

The course includes both video-based lectures as well as hands-on labs to practice and apply what you learn. You will have no-charge access to a virtual Linux server that you can access through your web browser, so you don't need to download and install anything to complete the labs. 

You’ll end this course with a final project as well as a final exam. In the final project you will demonstrate your knowledge of course concepts by performing your own Extract, Transform, and Load (ETL) process and create a scheduled backup script. 

This course is ideal for data engineers, data scientists, software developers, and cloud practitioners who want to get familiar with frequently used commands on Linux, MacOS and other Unix-like operating systems as well as get started with creating shell scripts.
",32.01802194263415
Health Information Literacy for Data Analytics,"University of California, Davis",Specialization,3 - 6 Months,4.4,744.0,intermediate,https://www.coursera.org/specializations/healthcare-information-literacy-data-analytics,"25,139","data model, healthcare terminology, healthcare data","['Articulate a coherent problem definition of, and a plan for addressing, a health informatics problem. ', 'Answer a health informatics problem through data retrieval and analysis.', 'Design a health informatics solution for decision support.', 'Create a change management and deployment plan for a health informatics intervention.']","This Specialization is intended for health professionals, administrators, health IT staff, vendors, startups, and patients who need or want to participate in the health IT/informatics process. Throughout the five courses of this Specialization, you will learn about the social and technical context of health informatics problems, how to successfully implement health informatics interventions, how to design a health informatics solution for decision support, and how to answer a health informatics problem through data retrieval and analysis. 
Applied Learning Project
Learners will create a comprehensive plan for a health informatics intervention by applying knowledge and skills, including: change management, workflow reengineering, decision support, data querying and analysis, and an understanding of the social and technical context of the health informatics problem.
",32.00877961695707
Integrative Nursing,University of Minnesota,Specialization,3 - 6 Months,4.8,786.0,beginner,https://www.coursera.org/specializations/integrative-nursing,"2,247","integrative healthcare, wellbeing, patient-centered care, improved symptom management, evidence-based practice, symptom management, healthcare, stress management, pain management, whole-person care, mindfulness, integrative medicine","['Assess  the current and potential role for Integrative Nursing in health and healthcare, including your own workplace.', 'Discuss the evidence base for use of integrative therapies, including historical, clinical, and research data.   ', 'Assess if a therapy is appropriate, Educate patients about  benefit and risk, Administer or advise on use, and Evaluate if the therapy was useful.', 'Apply Integrative Nursing principles and strategies to patient care and symptom management.  ']","You will identify ways to implement the six principles of Integrative Nursing in your work setting, then learn how to practice and apply specific integrative therapies at work, in alignment with the research evidence and safety and quality considerations.  In short, you will be ready to partner with patients on developing a plan of integrative care that fits their needs and preferences.  Each course is eligible for Minnesota Board of Nursing continuing education requirements and may be eligible for CE credit from other professional boards.
Applied Learning Project
Each course in this Specialization includes a peer-reviewed project that applies Integrative Nursing principles and/or integrative therapies to a specific situation. Throughout, the focus will be on assessing patient needs and educating and advising patients in clear, simple, and patient-centered language.  
",32.00749559240354
Fundamentos de la gestión de proyectos,Google,Course,1 - 4 Weeks,4.9,677.0,beginner,https://www.coursera.org/learn/fundamentos-de-la-gestion-de-proyectos,"11,297","gestión de proyectos, cultura de la organización, pensamiento estratégico, desarrollo profesional, gestión de cambios","['Reconoce las habilidades y conocimientos básicos necesarios para convertirte en analista de ciberseguridad', 'Identifica cómo los ataques a la ciberseguridad afectan a las operaciones comerciales', 'Qué es la ética de seguridad?', 'Identifica las herramientas más comunes que se utilizan en el análisis de ciberseguridad']","En este primer curso del Certificado de Ciberseguridad de Google conocerás el mundo de la ciberseguridad a través de un plan de estudios interactivo, desarrollado por Google. Identificarás los eventos significativos que llevaron al desarrollo del campo de la ciberseguridad, conocerás su importancia para las operaciones comerciales actuales y explorarás las responsabilidades y habilidades laborales de un/a analista de ciberseguridad de nivel inicial. 
Te guiarán especialistas de Google, que actualmente trabajan en ciberseguridad, con actividades prácticas y ejemplos que simulan tareas comunes y frecuentes de este campo. Todo esto te ayudará a desarrollar tus habilidades y prepararte para trabajar.

Los/las estudiantes que completen este certificado estarán preparados/as para solicitar trabajo en el área de la ciberseguridad, en un nivel inicial. No se necesita experiencia previa.
",31.94382171090794
The hidden value – Lean in manufacturing and services,École des Ponts ParisTech,Course,1 - 4 Weeks,4.8,772.0,beginner,https://www.coursera.org/learn/lean-manufacturing-services,"30,952","value stream mapping, lean manufacturing, lean thinking, lean methods",[],"Lean is a powerful methodology that enables managers and employees to shift their mindset and helps companies to keep their business sustainable by creating competitive advantage. Today, in an increasingly complex and dynamic world, where companies struggle to maintain competitive advantage, Lean is more important than ever.
This course combines the experience of many senior experts and practitioners from the Boston Consulting Group and École des Ponts, and brings perspectives on Lean in manufacturing and services. It offers strong topic foundation as well as deep practical insights into the art of continuous improvement.

In this course, you will learn:
- why Lean is a key driver for sustainable competitive advantage
- how different companies can leverage Lean to create value both in manufacturing and services
- what it takes to drive a Lean transformation and build a culture of continuous improvement 
- how new technologies impact traditional lean practices
",31.921339433219625
Introduction to Industrial Bioprocess Development,Technical University of Denmark (DTU),Course,1 - 3 Months,4.8,767.0,beginner,https://www.coursera.org/learn/industrial-bioprocess-development,"37,298","bioprocess engineering, biomanufacturing, microbiology, biotechnology","['The major challenges of the U.S.healthcare system', 'Issues you may encounter in efforts to improve healthcare delivery and the healthcare system', 'Who the key stakeholders are in the U.S. healthcare system']","Solving the problems and challenges within the U.S. healthcare system requires a deep understanding of how the system works. Successful solutions and strategies must take into account the realities of the current system. 
This course explores the fundamentals of the U.S. healthcare system. It will introduce the principal institutions and participants in healthcare systems, explain what they do, and discuss the interactions between them. The course will cover physician practices, hospitals, pharmaceuticals, and insurance and financing arrangements. 

We will also discuss the challenges of healthcare cost management, quality of care, and access to care. While the course focuses on the U.S. healthcare system, we will also refer to healthcare systems in other developed countries.



In support of improving patient care, Stanford Medicine is jointly accredited by the Accreditation Council for Continuing Medical Education (ACCME), the Accreditation Council for Pharmacy Education (ACPE), and the American Nurses Credentialing Center (ANCC), to provide continuing education for the healthcare team. Visit the FAQs below for important information regarding 1) Date of the original release and expiration date; 2) Accreditation and Credit Designation statements; 3) Disclosure of financial relationships for every person in control of activity content.
",31.890190719108826
